ualberta_discussions_user_id,course_id,discussion_question_id,discussion_question_following_active,discussion_question_following_ts
30b8d3d0604a8f7b150fcab6ed67ce5937647901,"99SZyjVxEeW6RApRXdjJPw","3Omp4DdJEeaKiRJh72RApw",t,2016-06-23 14:03:16.025
1feb0417a765069f8a10354dd39530cbea1d6fc6,"99SZyjVxEeW6RApRXdjJPw","56G31O_BEeWK_Q7eN25hdw",t,2016-03-22 00:06:19.911
9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","poDaEPOfEeWwfgrZnMB2OQ",t,2016-03-27 09:22:44.70
831764f171d41cd6e808eb8bc8a02a58bf13bd1f,"99SZyjVxEeW6RApRXdjJPw","MCVClhtfEeaIJBLsrsqR1Q",t,2016-05-17 22:11:45.197
19629ae124484b7dab89f900b7b74a661ee68bac,"99SZyjVxEeW6RApRXdjJPw","MCVClhtfEeaIJBLsrsqR1Q",t,2016-05-16 12:10:32.533
fe64c88a47dbf9d425a7890eff84fa511c04691f,"99SZyjVxEeW6RApRXdjJPw","poDaEPOfEeWwfgrZnMB2OQ",t,2016-03-26 22:11:12.398
9a34047f1ee927417871d9c4438f967a1512eb0b,"99SZyjVxEeW6RApRXdjJPw","0-W0DvBZEeWnOBISxifLdw",t,2016-03-22 18:13:50.292
1f5c1b1e002a65abc1c2ac4a2ce3b0b637808f11,"99SZyjVxEeW6RApRXdjJPw","0-W0DvBZEeWnOBISxifLdw",t,2016-03-23 04:06:00.11
2af8e71a1e975eccd268f9b956409b43fff1f541,"99SZyjVxEeW6RApRXdjJPw","HOLDpvGhEeWqSQ7kx0rpLQ",t,2016-03-28 14:55:38.669
9d9ccdb9cdf1e880351fc7ed15e34d2ec8cc3975,"99SZyjVxEeW6RApRXdjJPw","TDAGofBKEeWB0QpuSDkq-Q",t,2016-03-22 16:22:40.15
d7b70b426213bea8eff985dde367c899723a2adb,"99SZyjVxEeW6RApRXdjJPw","HOLDpvGhEeWqSQ7kx0rpLQ",t,2016-03-24 09:16:38.181
dde53e7b8fb09a18e62c257f1547d8151cccec43,"99SZyjVxEeW6RApRXdjJPw","yOlVrvpUEeWUlRKoMCES4w",t,2016-04-21 07:31:33.914
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","yOlVrvpUEeWUlRKoMCES4w",t,2016-04-21 07:28:50.342
3167ce07d6488757523b6a9cf9d1b364e0ad4561,"99SZyjVxEeW6RApRXdjJPw","yOlVrvpUEeWUlRKoMCES4w",t,2016-04-04 11:02:56.017
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","Etra1PWLEeWSBxKpjBqu3Q",t,2016-03-30 11:54:12.367
bb5385bed85b8b768d05e25f6bc9161d9ce9a832,"99SZyjVxEeW6RApRXdjJPw","fHnbdR-JEeaNSw6v6KnGpw",t,2016-05-21 19:23:24.105
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","Etra1PWLEeWSBxKpjBqu3Q",t,2016-04-21 07:23:49.548
5449674cafb4d91701b5a2baed615a859fef826d,"99SZyjVxEeW6RApRXdjJPw","Etra1PWLEeWSBxKpjBqu3Q",t,2016-03-29 08:48:57.071
90c31b9d40b3c08e4bc0a344dc1bf33a3bea6de9,"99SZyjVxEeW6RApRXdjJPw","Rk4KlvQYEeWfohJ0hvQveQ",t,2016-03-27 12:34:40.103
775bc860efe99ed9e948853e3dd37372f8d3bded,"99SZyjVxEeW6RApRXdjJPw","2Lj28Rt2Eeagmg7UfyjMTw",t,2016-05-16 14:59:53.793
1f5c1b1e002a65abc1c2ac4a2ce3b0b637808f11,"99SZyjVxEeW6RApRXdjJPw","1yvuhgwxEea44Qp49aJR6w",t,2016-04-27 04:38:08.463
3e568595f32035978a48487f890cadcab4c4f694,"99SZyjVxEeW6RApRXdjJPw","uSRWpjxSEead6Qo6D3cLkQ",t,2016-06-27 10:34:27.302
a68fe6837396b81ccab5a74aa30d235ebb5317d9,"99SZyjVxEeW6RApRXdjJPw","_VKwp_AsEeWPKQpBKpg03Q",t,2016-03-22 12:52:52.448
8449eb049cf23b58beb6c9cf069b1b66764c9881,"99SZyjVxEeW6RApRXdjJPw","il3_6fCJEeWfwAohgaM63Q",t,2016-03-22 23:55:22.773
7d1514f61c47bc1fdd79498ac5de3c73c152546d,"99SZyjVxEeW6RApRXdjJPw","rFvNtf2VEeWHDgoRw4pwlQ",t,2016-04-08 14:24:58.882
7255c72bed6d15743e7246f70a0f5ecf55b21221,"99SZyjVxEeW6RApRXdjJPw","tzmxghtvEeaLhQ74Ufc-sQ",t,2016-05-16 15:08:57.078
bfaf864a2c08ce0f0807b3e388f2dd6c7d5d00c2,"99SZyjVxEeW6RApRXdjJPw","tzmxghtvEeaLhQ74Ufc-sQ",t,2016-05-16 15:25:32.079
ce8c53c13f752ce833a17ae6474b01b4e0d49c83,"99SZyjVxEeW6RApRXdjJPw","TC1onfsUEeWZ8AoH1Zkwbw",t,2016-04-05 09:53:50.109
19629ae124484b7dab89f900b7b74a661ee68bac,"99SZyjVxEeW6RApRXdjJPw","tzmxghtvEeaLhQ74Ufc-sQ",t,2016-05-16 14:08:51.112
95c793b92147f1074ad4f2d8146d611f4204e8e8,"99SZyjVxEeW6RApRXdjJPw","5jQBefm2EeWnyw45DXyCTw",t,2016-04-03 16:12:45.015
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","9jk4DgNUEeaFRBL8xcPRow",t,2016-04-28 13:32:23.089
9dc0df3d14c5ada1256558be2bb31b15e608a791,"99SZyjVxEeW6RApRXdjJPw","9jk4DgNUEeaFRBL8xcPRow",t,2016-04-15 21:56:52.508
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","9jk4DgNUEeaFRBL8xcPRow",t,2016-04-21 07:38:16.879
