ualberta_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
0b6155f11b5edccab7a0e655818e6137671a1b4a,"99SZyjVxEeW6RApRXdjJPw","fDvuJfjwEeWGRgp2IDLuIQ",1,2016-04-09 16:30:46.847
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","fDvuJfjwEeWGRgp2IDLuIQ",1,2016-04-03 03:45:02.288
aa61de94657760bda229d13249a4db92bacbd094,"99SZyjVxEeW6RApRXdjJPw","Iz-zvfgfEeWs9Q5ernAFuQ",1,2016-04-06 04:22:31.88
fec2fcef7a7647062e00fd20d7932bcf244faffa,"99SZyjVxEeW6RApRXdjJPw","7SGKNRLOEeaO1w7d1s7iLw",1,2016-05-22 23:37:42.373
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","M_eDWQk-Eeapsg5V67N9Xw",1,2016-04-25 22:36:26.946
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","sdfNlP6KEeWftQ4Vb9ltCw",1,2016-04-10 07:53:50.341
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","l06MUAcPEea9ygrU1TZnpw",1,2016-04-21 07:35:32.388
0b6155f11b5edccab7a0e655818e6137671a1b4a,"99SZyjVxEeW6RApRXdjJPw","SWKZyv53EeWpRBJSZ0Y3Bw",1,2016-04-10 07:19:32.163
5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","NSJPPBI7EeaSqwpdV4Ekkw",1,2016-05-06 20:11:25.371
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","yFJoRPwTEeWS4Ar9qFG8UQ",1,2016-04-06 20:40:46.942
6f8900fe2d853cb7f41a1d005a7f52d5b133911f,"99SZyjVxEeW6RApRXdjJPw","RhIdJjkUEeaL_xIEq4QdBw",1,2016-06-23 13:06:19.17
6918a6e53d989bc484eea9db210f2f6783e08fb8,"99SZyjVxEeW6RApRXdjJPw","o_0R3w1DEea44Qp49aJR6w",1,2016-05-05 11:44:39.406
40aaa70ff66676d1524a3183350a5436fc6b6920,"99SZyjVxEeW6RApRXdjJPw","p3gu0_XnEeWhbg4BpFa_-Q",1,2016-04-02 08:24:31.292
